[2026-03-03T08:18:10.809+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:18:09.287227+00:00 [queued]>
[2026-03-03T08:18:10.821+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:18:09.287227+00:00 [queued]>
[2026-03-03T08:18:10.822+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-03T08:18:10.842+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): extract_timesheets> on 2026-03-03 08:18:09.287227+00:00
[2026-03-03T08:18:10.857+0000] {standard_task_runner.py:60} INFO - Started process 335 to run task
[2026-03-03T08:18:10.868+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'etl_pipeline', 'extract_timesheets', 'manual__2026-03-03T08:18:09.287227+00:00', '--job-id', '70', '--raw', '--subdir', 'DAGS_FOLDER/etl_dag.py', '--cfg-path', '/tmp/tmpqascna3u']
[2026-03-03T08:18:10.871+0000] {standard_task_runner.py:88} INFO - Job 70: Subtask extract_timesheets
[2026-03-03T08:18:10.954+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:18:09.287227+00:00 [running]> on host ad601963dc0b
[2026-03-03T08:18:11.941+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='etl_user' AIRFLOW_CTX_DAG_ID='etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_timesheets' AIRFLOW_CTX_EXECUTION_DATE='2026-03-03T08:18:09.287227+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-03T08:18:09.287227+00:00'
[2026-03-03T08:18:11.945+0000] {extract_bronze.py:66} INFO - Starting timesheet extraction from folder: /opt/airflow/data/timesheets
[2026-03-03T08:18:12.332+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:12.564+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:12.777+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:13.043+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:13.373+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:13.588+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:13.793+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:13.966+0000] {extract_bronze.py:88} INFO - Loaded 3957 rows from /opt/airflow/data/timesheets/timesheet_202510161124.csv to staging_timesheet
[2026-03-03T08:18:14.239+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:14.553+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:14.802+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:15.042+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:15.282+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:15.524+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:18:15.763+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
